INFO:traverse_directory:('D:\\GeekBrains\\Deep Python\\Sem8',):
(name='main', extension='.py', dir_flag=False, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8')
(name='new_file_005', extension='.txt', dir_flag=False, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8')
(name='results', extension='.csv', dir_flag=False, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8')
(name='results', extension='.json', dir_flag=False, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8')
(name='results', extension='.pickle', dir_flag=False, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8')
(name='results', extension='.pkl', dir_flag=False, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8')
(name='result_task1', extension='.json', dir_flag=False, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8')
(name='result_task1', extension='.pkl', dir_flag=False, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8')
(name='result_task2', extension='.json', dir_flag=False, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8')
(name='result_task2', extension='.pickle', dir_flag=False, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8')
(name='result_task3', extension='.csv', dir_flag=False, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8')
(name='result_task4', extension='.csv', dir_flag=False, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8')
(name='result_task4', extension='.json', dir_flag=False, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8')
(name='result_task4', extension='.pickle', dir_flag=False, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8')
(name='__init__', extension='.py', dir_flag=False, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8')
(name='dir1', extension='dir', dir_flag=True, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8')
(name='dir2', extension='dir', dir_flag=True, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8')
(name='new_file_003', extension='.txt', dir_flag=False, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8\\dir2')
(name='dir3', extension='dir', dir_flag=True, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8\\dir2')
(name='new_file_004', extension='.txt', dir_flag=False, parent_dir='D:\\GeekBrains\\Deep Python\\Sem8\\dir2\\dir3')
